,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,21.0,245.0,7.3,2.47,5.0,5.0,7.0,4.0,0.23,0.47,0.8,55600.0,5760.78,0.3,0.2,0.2,0.09,5508.69,drivens
村上 淳,15.0,171.0,-296.7,2.86,0.0,5.0,7.0,3.0,0.0,0.33,0.8,30000.0,6142.85,0.21,0.24,0.12,0.08,5053.33,drivens
鈴木 たろう,17.0,231.0,-83.0,2.52,3.0,6.0,4.0,4.0,0.17,0.52,0.76,51600.0,6646.34,0.25,0.16,0.17,0.09,6056.52,drivens
丸山 奏子,9.0,113.0,-271.6,3.22,0.0,2.0,3.0,4.0,0.0,0.22,0.55,46700.0,7815.38,0.18,0.23,0.11,0.1,5900.0,drivens
二階堂 亜樹,15.0,174.0,-16.8,2.66,4.0,2.0,4.0,5.0,0.26,0.4,0.66,59500.0,7177.77,0.14,0.19,0.2,0.1,5527.77,EX
勝又 健志,16.0,197.0,259.2,2.06,6.0,4.0,5.0,1.0,0.37,0.62,0.93,61200.0,5965.3,0.17,0.2,0.24,0.07,6473.33,EX
松ヶ瀬 隆弥,17.0,218.0,180.5,2.17,6.0,6.0,1.0,4.0,0.35,0.7,0.76,51900.0,7635.71,0.19,0.2,0.19,0.09,6185.71,EX
二階堂 瑠美,14.0,160.0,30.2,2.57,6.0,0.0,2.0,6.0,0.42,0.42,0.57,72300.0,7124.24,0.16,0.18,0.2,0.13,6104.54,EX
内川 幸太郎,15.0,201.0,-51.5,2.63,4.0,2.0,5.0,4.0,0.26,0.4,0.73,59600.0,7303.44,0.25,0.23,0.14,0.1,5263.63,sakura
岡田 紗佳,11.0,123.0,-80.2,2.81,3.0,1.0,2.0,5.0,0.27,0.36,0.54,64100.0,7030.43,0.19,0.21,0.18,0.12,3553.33,sakura
堀 慎吾,18.0,216.0,-10.7,2.66,5.0,3.0,3.0,7.0,0.27,0.44,0.61,60200.0,6035.29,0.25,0.18,0.23,0.12,5185.18,sakura
渋川 難波,18.0,223.0,-49.0,2.55,4.0,5.0,4.0,5.0,0.22,0.5,0.72,56700.0,7326.31,0.22,0.21,0.17,0.15,3823.52,sakura
滝沢 和典,15.0,188.0,-90.1,2.73,3.0,3.0,4.0,5.0,0.2,0.4,0.66,46200.0,6842.85,0.16,0.22,0.18,0.08,5243.75,konami
佐々木 寿人,17.0,209.0,-69.7,2.58,4.0,4.0,4.0,5.0,0.23,0.47,0.7,49200.0,6180.48,0.21,0.25,0.19,0.11,5521.73,konami
高宮 まり,14.0,168.0,204.4,2.14,5.0,4.0,3.0,2.0,0.35,0.64,0.85,66400.0,8010.81,0.25,0.23,0.22,0.1,6358.82,konami
伊達 朱里紗,16.0,194.0,280.7,2.12,7.0,3.0,3.0,3.0,0.43,0.62,0.81,64300.0,8140.54,0.19,0.19,0.19,0.1,4928.57,konami
多井 隆晴,15.0,189.0,67.2,2.26,4.0,5.0,4.0,2.0,0.26,0.6,0.86,60400.0,5291.48,0.21,0.19,0.24,0.13,5516.0,abemas
白鳥 翔,16.0,200.0,-105.2,2.62,3.0,4.0,5.0,4.0,0.18,0.43,0.75,77200.0,5995.12,0.25,0.16,0.2,0.14,4893.1,abemas
松本 吉弘,17.0,224.0,26.1,2.47,4.0,6.0,2.0,5.0,0.23,0.58,0.7,57100.0,6900.0,0.23,0.21,0.22,0.11,7176.92,abemas
日向 藍子,14.0,157.0,201.7,2.07,3.0,7.0,4.0,0.0,0.21,0.71,1.0,65800.0,7564.7,0.19,0.19,0.21,0.07,4850.0,abemas
魚谷 侑未,17.0,219.0,-235.0,2.82,3.0,3.0,5.0,6.0,0.17,0.35,0.64,43400.0,5764.51,0.23,0.21,0.14,0.1,4279.16,sega_summy
近藤 誠一,13.0,157.0,-207.5,2.84,1.0,4.0,4.0,4.0,0.07,0.38,0.69,53300.0,7091.3,0.21,0.24,0.14,0.1,6552.94,sega_summy
茅森 早香,18.0,248.0,-42.2,2.58,3.0,6.0,5.0,4.0,0.16,0.5,0.77,90000.0,7472.91,0.2,0.25,0.19,0.12,6993.33,sega_summy
東城 りお,14.0,179.0,50.7,2.42,4.0,3.0,4.0,3.0,0.28,0.5,0.78,50400.0,7857.14,0.14,0.2,0.19,0.1,6384.21,sega_summy
萩原 聖人,12.0,152.0,-186.6,2.75,2.0,4.0,1.0,5.0,0.16,0.5,0.58,40200.0,6317.39,0.1,0.22,0.15,0.11,5805.55,raiden
瀬戸熊 直樹,16.0,197.0,-178.3,2.75,1.0,6.0,5.0,4.0,0.06,0.43,0.75,53900.0,6159.52,0.12,0.23,0.21,0.07,6140.0,raiden
黒沢 咲,15.0,192.0,21.3,2.6,3.0,2.0,8.0,2.0,0.2,0.33,0.86,112700.0,7094.59,0.08,0.24,0.19,0.06,5416.66,raiden
本田 朋広,19.0,246.0,335.6,2.05,10.0,3.0,1.0,5.0,0.52,0.68,0.73,63900.0,6718.64,0.25,0.23,0.23,0.1,6292.0,raiden
小林 剛,15.0,190.0,65.2,2.46,5.0,1.0,6.0,3.0,0.33,0.4,0.8,67200.0,5653.06,0.33,0.19,0.25,0.11,6031.81,u-next
